"ID","Name","Type","rConc","Name","Type","Value","Quality","Call","Threshold","In Range","Out Range","Peak Ratio","Comments","treatment","Peak Call"
"S06-A34","mockhigh_106-6","Unknown",1,"KRAS","Test",14.2634388709396,1,"Pass",0.0222468576534276,75.3336576060387,999,1,"ok","mock_high","Pass"
"S06-A35","mockhigh_106-6","Unknown",1,"KMT2A","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S06-A36","mockhigh_106-6","Unknown",1,"DAAM1","Test",26.4741535217755,0.402318148687384,"Fail",0.0222468576534276,68.9669467380811,999,1,"miss","mock_high","Fail"
"S06-A37","mockhigh_106-6","Unknown",1,"CTNNB","Test",16.1823920565397,1,"Pass",0.0222468576534276,83.7293347872924,999,1,"ok","mock_high","Pass"
"S06-A38","mockhigh_106-6","Unknown",1,"PTGS2","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S06-A39","mockhigh_106-6","Unknown",1,"PPIA","Test",9.59833914751792,1,"Pass",0.0222468576534276,84.4014380337731,999,1,"ok","mock_high","Pass"
"S06-A40","mockhigh_106-6","Unknown",1,"RELA","Test",18.6611213769296,1,"Pass",0.0222468576534276,85.7246655291261,999,1,"ok","mock_high","Pass"
"S06-A41","mockhigh_106-6","Unknown",1,"SMYD3","Test",16.2454928240307,1,"Pass",0.0222468576534276,82.1319058210354,999,1,"ok","mock_high","Pass"
"S06-A42","mockhigh_106-6","Unknown",1,"UGCG","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S06-A43","mockhigh_106-6","Unknown",1,"LRP6","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S06-A44","mockhigh_106-6","Unknown",1,"Tcf7l2","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S06-A45","mockhigh_106-6","Unknown",1,"B2M","Test",10.1763701846976,1,"Pass",0.0222468576534276,85.9428861696517,999,1,"ok","mock_high","Pass"
"S06-A46","mockhigh_106-6","Unknown",1,"MAP3K14","Test",17.168929379743,1,"Pass",0.0222468576534276,84.3448303138394,999,1,"ok","mock_high","Pass"
