"ID","Name","Type","rConc","Name","Type","Value","Quality","Call","Threshold","In Range","Out Range","Peak Ratio","Comments","treatment","Peak Call"
"S07-A11","48hlow_107-7","Unknown",1,"ABCB1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S07-A12","48hlow_107-7","Unknown",1,"LRP5","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S07-A13","48hlow_107-7","Unknown",1,"ABCC5","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S07-A14","48hlow_107-7","Unknown",1,"NFYA","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S07-A15","48hlow_107-7","Unknown",1,"CSK","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S07-A16","48hlow_107-7","Unknown",1,"SCML2","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S07-A17","48hlow_107-7","Unknown",1,"GAPDH","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S07-A18","48hlow_107-7","Unknown",1,"APCDD1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S07-A19","48hlow_107-7","Unknown",1,"WNK1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S07-A20","48hlow_107-7","Unknown",1,"IL18","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S07-A21","48hlow_107-7","Unknown",1,"GCLC","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S07-A22","48hlow_107-7","Unknown",1,"MAPK1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S07-A23","48hlow_107-7","Unknown",1,"MYC","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S07-A24","48hlow_107-7","Unknown",1,"OCT4","Test",19.9119523179566,0.729570739171261,"Pass",0.0222468576534276,92.6021608942541,999,1,"miss","48h_low","Fail"
"S07-A25","48hlow_107-7","Unknown",1,"OSCAR","Test",999,0,"Fail",0.0222468576534276,999,999,0,"miss","48h_low","Fail"
"S07-A26","48hlow_107-7","Unknown",1,"MPO","Test",21.6900263692807,1,"Pass",0.0222468576534276,88.056968218866,999,1,"ok","48h_low","Pass"
"S07-A27","48hlow_107-7","Unknown",1,"EZH1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S07-A28","48hlow_107-7","Unknown",1,"SLC7A7","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
